school_name,school_abbrev
Florida International,florida-international
Towson,towson
Eastern Washington,eastern-washington
Georgia State,georgia-state
Drexel,drexel
Alabama State,alabama-state
Lehigh,lehigh
Arkansas State,arkansas-state
Tennessee Tech,tennessee-tech
Manhattan,manhattan
Pepperdine,pepperdine
Quinnipiac,quinnipiac
Jacksonville,jacksonville
Western Carolina,western-carolina
Tennessee-Martin,tennessee-martin
Louisiana-Monroe,louisiana-monroe
Southern Methodist,southern-methodist
Columbia,columbia
Army,army
Portland,portland
Hartford,hartford
Nicholls State,nicholls-state
San Jose State,san-jose-state
Texas A&M-Corpus Christi,texas-am-corpus-christi
Northern Illinois,northern-illinois
McNeese State,mcneese-state
Cal Poly,cal-poly
Virginia Military Institute,virginia-military-institute
Eastern Kentucky,eastern-kentucky
Texas State,texas-state
Mercer,mercer
New Hampshire,new-hampshire
Saint Peter's,saint-peters
Rice,rice
Pennsylvania,pennsylvania
Texas-San Antonio,texas-san-antonio
Western Illinois,western-illinois
Texas-Rio Grande Valley,texas-pan-american
Chicago State,chicago-state
UC-Riverside,california-riverside
Idaho,idaho
Harvard,harvard
Centenary (LA),centenary-la
Northwestern State,northwestern-state
Morehead State,morehead-state
Princeton,princeton
Stetson,stetson
Delaware State,delaware-state
Coastal Carolina,coastal-carolina
Campbell,campbell
Samford,samford
Idaho State,idaho-state
Stony Brook,stony-brook
St. Francis (NY),st-francis-ny
Furman,furman
Long Beach State,long-beach-state
Monmouth,monmouth
Fairleigh Dickinson,fairleigh-dickinson
Saint Francis (PA),saint-francis-pa
Norfolk State,norfolk-state
Southeast Missouri State,southeast-missouri-state
Canisius,canisius
Coppin State,coppin-state
Dartmouth,dartmouth
North Carolina A&T,north-carolina-at
Eastern Illinois,eastern-illinois
Radford,radford
UC-Davis,california-davis
Charleston Southern,charleston-southern
Mississippi Valley State,mississippi-valley-state
Jacksonville State,jacksonville-state
Louisiana Tech,louisiana-tech
Florida A&M,florida-am
South Carolina State,south-carolina-state
Bethune-Cookman,bethune-cookman
Southern,southern
Alabama A&M,alabama-am
Jackson State,jackson-state
Savannah State,savannah-state
Maine,maine
Loyola Marymount,loyola-marymount
Citadel,citadel
Sacramento State,sacramento-state
Arkansas-Pine Bluff,arkansas-pine-bluff
Longwood,longwood
Texas Southern,texas-southern
Prairie View,prairie-view
Howard,howard
Alcorn State,alcorn-state
Grambling,grambling
Maryland-Eastern Shore,maryland-eastern-shore
