school_name,school_abbrev
Weber State,weber-state
Fairfield,fairfield
New Orleans,new-orleans
McNeese State,mcneese-state
Cornell,cornell
Rider,rider
Hartford,hartford
Princeton,princeton
Chicago State,chicago-state
East Tennessee State,east-tennessee-state
Yale,yale
Eastern Michigan,eastern-michigan
Harvard,harvard
Wagner,wagner
Mount St. Mary's,mount-st-marys
Elon,elon
Chattanooga,chattanooga
Furman,furman
Southern Utah,southern-utah
Youngstown State,youngstown-state
Appalachian State,appalachian-state
Towson,towson
Radford,radford
East Carolina,east-carolina
Tennessee-Martin,tennessee-martin
Sacred Heart,sacred-heart
Bowling Green State,bowling-green-state
Southern Mississippi,southern-mississippi
Wofford,wofford
Robert Morris,robert-morris
Quinnipiac,quinnipiac
Cleveland State,cleveland-state
High Point,high-point
Western Carolina,western-carolina
St. Francis (NY),st-francis-ny
Maryland-Baltimore County,maryland-baltimore-county
American,american
Cal State Northridge,cal-state-northridge
Eastern Kentucky,eastern-kentucky
Oakland,oakland
Alabama A&M,alabama-am
Florida International,florida-international
Missouri-Kansas City,missouri-kansas-city
Florida Atlantic,florida-atlantic
Hampton,hampton
New Hampshire,new-hampshire
Duquesne,duquesne
Idaho,idaho
Long Island University,long-island-university
Louisiana-Monroe,louisiana-monroe
Gardner-Webb,gardner-webb
North Carolina-Greensboro,north-carolina-greensboro
Charleston Southern,charleston-southern
Colgate,colgate
Coppin State,coppin-state
Jackson State,jackson-state
Columbia,columbia
IPFW,ipfw
Brown,brown
Lafayette,lafayette
Norfolk State,norfolk-state
Stetson,stetson
Western Illinois,western-illinois
South Carolina State,south-carolina-state
Campbell,campbell
Central Michigan,central-michigan
Arkansas-Pine Bluff,arkansas-pine-bluff
Navy,navy
Dartmouth,dartmouth
James Madison,james-madison
Alabama State,alabama-state
Maine,maine
Florida A&M,florida-am
Bethune-Cookman,bethune-cookman
Stony Brook,stony-brook
UC-Riverside,california-riverside
Southeast Missouri State,southeast-missouri-state
North Carolina-Asheville,north-carolina-asheville
Grambling,grambling
Eastern Illinois,eastern-illinois
Nicholls State,nicholls-state
Texas State,texas-state
Alcorn State,alcorn-state
Centenary (LA),centenary-la
Howard,howard
Virginia Military Institute,virginia-military-institute
Saint Francis (PA),saint-francis-pa
Texas-Rio Grande Valley,texas-pan-american
Mississippi Valley State,mississippi-valley-state
Liberty,liberty
Texas Southern,texas-southern
North Carolina A&T,north-carolina-at
Mercer,mercer
Jacksonville,jacksonville
Army,army
Morehead State,morehead-state
Maryland-Eastern Shore,maryland-eastern-shore
Citadel,citadel
Prairie View,prairie-view
Morgan State,morgan-state
Savannah State,savannah-state
