school_name,school_abbrev
Princeton,princeton
San Francisco,san-francisco
Yale,yale
Hampton,hampton
Citadel,citadel
McNeese State,mcneese-state
Georgia State,georgia-state
East Carolina,east-carolina
Missouri-Kansas City,missouri-kansas-city
Southern Mississippi,southern-mississippi
North Texas,north-texas
Toledo,toledo
Air Force,air-force
Central Connecticut State,central-connecticut-state
Central Florida,central-florida
Northern Iowa,northern-iowa
Cal Poly,cal-poly
Texas-Rio Grande Valley,texas-pan-american
West Virginia,west-virginia
Marshall,marshall
Rider,rider
Delaware,delaware
Old Dominion,old-dominion
Furman,furman
Holy Cross,holy-cross
Boise State,boise-state
Penn State,penn-state
Texas-El Paso,texas-el-paso
IUPUI,iupui
Eastern Washington,eastern-washington
Drake,drake
George Washington,george-washington
Cleveland State,cleveland-state
Long Beach State,long-beach-state
Siena,siena
Buffalo,buffalo
Drexel,drexel
Cal State Northridge,cal-state-northridge
Rice,rice
Texas A&M,texas-am
Washington State,washington-state
Troy,troy
James Madison,james-madison
Morehead State,morehead-state
Northern Illinois,northern-illinois
Texas-San Antonio,texas-san-antonio
Jacksonville,jacksonville
Middle Tennessee,middle-tennessee
Brown,brown
Bradley,bradley
Central Michigan,central-michigan
Niagara,niagara
Radford,radford
Vermont,vermont
Samford,samford
Florida Atlantic,florida-atlantic
New Orleans,new-orleans
Austin Peay,austin-peay
Montana,montana
Fordham,fordham
Green Bay,green-bay
Wagner,wagner
Indiana State,indiana-state
Santa Clara,santa-clara
Saint Mary's (CA),saint-marys-ca
Boston University,boston-university
Southern Utah,southern-utah
Duquesne,duquesne
Akron,akron
Sam Houston State,sam-houston-state
American,american
Florida International,florida-international
Louisiana-Monroe,louisiana-monroe
Northern Arizona,northern-arizona
Rhode Island,rhode-island
Iona,iona
Fairfield,fairfield
San Jose State,san-jose-state
Colgate,colgate
Hofstra,hofstra
Centenary (LA),centenary-la
William & Mary,william-mary
Columbia,columbia
Lafayette,lafayette
Winthrop,winthrop
Harvard,harvard
Monmouth,monmouth
Wofford,wofford
Belmont,belmont
UC-Riverside,california-riverside
Howard,howard
Portland,portland
South Alabama,south-alabama
Western Illinois,western-illinois
Loyola Marymount,loyola-marymount
Appalachian State,appalachian-state
Tennessee-Martin,tennessee-martin
Western Carolina,western-carolina
Portland State,portland-state
Eastern Illinois,eastern-illinois
Maryland-Baltimore County,maryland-baltimore-county
Canisius,canisius
Denver,denver
Tennessee State,tennessee-state
St. Francis (NY),st-francis-ny
Evansville,evansville
Navy,navy
Texas State,texas-state
Virginia Military Institute,virginia-military-institute
Jacksonville State,jacksonville-state
Lamar,lamar
Delaware State,delaware-state
Northwestern State,northwestern-state
Quinnipiac,quinnipiac
Idaho,idaho
Idaho State,idaho-state
Bucknell,bucknell
Stephen F. Austin,stephen-f-austin
Texas-Arlington,texas-arlington
Southeast Missouri State,southeast-missouri-state
North Carolina-Asheville,north-carolina-asheville
South Carolina State,south-carolina-state
Alcorn State,alcorn-state
Alabama A&M,alabama-am
Cal State Fullerton,cal-state-fullerton
Northeastern,northeastern
Stetson,stetson
Sacramento State,sacramento-state
Hartford,hartford
Youngstown State,youngstown-state
Maine,maine
North Carolina A&T,north-carolina-at
Cornell,cornell
Army,army
Alabama State,alabama-state
Towson,towson
Elon,elon
Robert Morris,robert-morris
Binghamton,binghamton
Dartmouth,dartmouth
High Point,high-point
Eastern Kentucky,eastern-kentucky
Norfolk State,norfolk-state
Lehigh,lehigh
Charleston Southern,charleston-southern
Bethune-Cookman,bethune-cookman
Mercer,mercer
Florida A&M,florida-am
Southeastern Louisiana,southeastern-louisiana
New Hampshire,new-hampshire
Saint Francis (PA),saint-francis-pa
Eastern Michigan,eastern-michigan
Sacred Heart,sacred-heart
Mississippi Valley State,mississippi-valley-state
Campbell,campbell
Maryland-Eastern Shore,maryland-eastern-shore
Jackson State,jackson-state
Coastal Carolina,coastal-carolina
Saint Peter's,saint-peters
Albany (NY),albany-ny
Loyola (MD),loyola-md
Stony Brook,stony-brook
Coppin State,coppin-state
Morgan State,morgan-state
Fairleigh Dickinson,fairleigh-dickinson
Grambling,grambling
Chicago State,chicago-state
Texas Southern,texas-southern
Southern,southern
Liberty,liberty
Long Island University,long-island-university
Mount St. Mary's,mount-st-marys
Prairie View,prairie-view
Nicholls State,nicholls-state
Morris Brown,morris-brown
Arkansas-Pine Bluff,arkansas-pine-bluff
