school_name,school_abbrev
Pennsylvania,pennsylvania
Princeton,princeton
Campbell,campbell
Detroit Mercy,detroit-mercy
Jacksonville State,jacksonville-state
Samford,samford
Lehigh,lehigh
Cal Poly,cal-poly
Gardner-Webb,gardner-webb
Saint Peter's,saint-peters
Appalachian State,appalachian-state
Centenary (LA),centenary-la
Maryland-Baltimore County,maryland-baltimore-county
Quinnipiac,quinnipiac
Eastern Illinois,eastern-illinois
New Hampshire,new-hampshire
Jackson State,jackson-state
Coppin State,coppin-state
Florida Atlantic,florida-atlantic
New Orleans,new-orleans
Columbia,columbia
Northern Illinois,northern-illinois
Army,army
Missouri-Kansas City,missouri-kansas-city
South Carolina State,south-carolina-state
Central Connecticut State,central-connecticut-state
Wagner,wagner
Toledo,toledo
Hampton,hampton
Tennessee State,tennessee-state
Western Illinois,western-illinois
Pepperdine,pepperdine
Maine,maine
North Carolina-Asheville,north-carolina-asheville
Winthrop,winthrop
Bucknell,bucknell
Eastern Michigan,eastern-michigan
Coastal Carolina,coastal-carolina
Louisiana-Monroe,louisiana-monroe
Elon,elon
Longwood,longwood
Brown,brown
Bethune-Cookman,bethune-cookman
Prairie View,prairie-view
St. Francis (NY),st-francis-ny
Savannah State,savannah-state
North Carolina A&T,north-carolina-at
High Point,high-point
Hartford,hartford
Colgate,colgate
Dartmouth,dartmouth
Norfolk State,norfolk-state
Georgia Southern,georgia-southern
Texas-Rio Grande Valley,texas-pan-american
North Carolina-Wilmington,north-carolina-wilmington
Charleston Southern,charleston-southern
Lafayette,lafayette
Fordham,fordham
Delaware State,delaware-state
Loyola Marymount,loyola-marymount
Monmouth,monmouth
Arkansas-Pine Bluff,arkansas-pine-bluff
Saint Francis (PA),saint-francis-pa
North Carolina-Greensboro,north-carolina-greensboro
Furman,furman
Texas Southern,texas-southern
Howard,howard
Florida A&M,florida-am
Fairleigh Dickinson,fairleigh-dickinson
Southern,southern
Sacramento State,sacramento-state
Mississippi Valley State,mississippi-valley-state
Northwestern State,northwestern-state
Southeast Missouri State,southeast-missouri-state
Alabama A&M,alabama-am
Maryland-Eastern Shore,maryland-eastern-shore
Grambling,grambling
Alcorn State,alcorn-state
