school_name,school_abbrev
Howard,howard
Alabama A&M,alabama-am
Grambling,grambling
Harvard,harvard
Loyola (MD),loyola-md
Dartmouth,dartmouth
Bethune-Cookman,bethune-cookman
Virginia Military Institute,virginia-military-institute
Citadel,citadel
Alcorn State,alcorn-state
Nicholls State,nicholls-state
Prairie View,prairie-view
Maryland-Eastern Shore,maryland-eastern-shore
Campbell,campbell
Navy,navy
Savannah State,savannah-state
Army,army
North Carolina A&T,north-carolina-at
Arkansas-Pine Bluff,arkansas-pine-bluff
