school_name,school_abbrev
Hampton,hampton
Rice,rice
Lipscomb,lipscomb
Cleveland State,cleveland-state
Incarnate Word,incarnate-word
Troy,troy
Jacksonville,jacksonville
Cornell,cornell
Utah Valley,utah-valley
Seattle,seattle
Idaho State,idaho-state
North Texas,north-texas
Mount St. Mary's,mount-st-marys
South Carolina State,south-carolina-state
Jacksonville State,jacksonville-state
Florida Atlantic,florida-atlantic
Quinnipiac,quinnipiac
Houston Baptist,houston-baptist
Liberty,liberty
Southern Mississippi,southern-mississippi
Southern Illinois-Edwardsville,southern-illinois-edwardsville
Stetson,stetson
Youngstown State,youngstown-state
Fairleigh Dickinson,fairleigh-dickinson
Loyola (MD),loyola-md
Bradley,bradley
Charleston Southern,charleston-southern
Campbell,campbell
Holy Cross,holy-cross
St. Francis (NY),st-francis-ny
Niagara,niagara
Longwood,longwood
Marist,marist
Long Island University,long-island-university
Northern Colorado,northern-colorado
Morgan State,morgan-state
Saint Francis (PA),saint-francis-pa
Virginia Military Institute,virginia-military-institute
North Carolina Central,north-carolina-central
Sacred Heart,sacred-heart
Alabama State,alabama-state
Presbyterian,presbyterian
Alabama A&M,alabama-am
Robert Morris,robert-morris
Massachusetts-Lowell,massachusetts-lowell
Southeastern Louisiana,southeastern-louisiana
South Carolina Upstate,south-carolina-upstate
Abilene Christian,abilene-christian
Binghamton,binghamton
American,american
New Orleans,new-orleans
Maryland-Eastern Shore,maryland-eastern-shore
Hartford,hartford
Bethune-Cookman,bethune-cookman
Howard,howard
Illinois-Chicago,illinois-chicago
Lamar,lamar
Lafayette,lafayette
Central Arkansas,central-arkansas
McNeese State,mcneese-state
Maryland-Baltimore County,maryland-baltimore-county
Savannah State,savannah-state
Northwestern State,northwestern-state
Coppin State,coppin-state
Citadel,citadel
Alcorn State,alcorn-state
Southeast Missouri State,southeast-missouri-state
Texas-San Antonio,texas-san-antonio
Nicholls State,nicholls-state
North Carolina A&T,north-carolina-at
Southern Utah,southern-utah
Maine,maine
Prairie View,prairie-view
Chicago State,chicago-state
Texas-Rio Grande Valley,texas-pan-american
Northern Arizona,northern-arizona
Bryant,bryant
Arkansas-Pine Bluff,arkansas-pine-bluff
Grambling,grambling
Mississippi Valley State,mississippi-valley-state
Delaware State,delaware-state
Florida A&M,florida-am
Central Connecticut State,central-connecticut-state
