school_name,school_abbrev
Texas-Arlington,texas-arlington
Bucknell,bucknell
Miami (OH),miami-oh
New Hampshire,new-hampshire
Oral Roberts,oral-roberts
Radford,radford
Winthrop,winthrop
Denver,denver
Loyola Marymount,loyola-marymount
Ohio,ohio
Bradley,bradley
Charleston Southern,charleston-southern
Sacramento State,sacramento-state
UC-Riverside,california-riverside
Norfolk State,norfolk-state
East Tennessee State,east-tennessee-state
Milwaukee,milwaukee
South Dakota,south-dakota
Missouri State,missouri-state
North Texas,north-texas
South Florida,south-florida
Ball State,ball-state
Southeast Missouri State,southeast-missouri-state
Gardner-Webb,gardner-webb
Texas State,texas-state
Arkansas-Little Rock,arkansas-little-rock
Saint Louis,saint-louis
Northwestern State,northwestern-state
Eastern Illinois,eastern-illinois
Texas A&M-Corpus Christi,texas-am-corpus-christi
Boston University,boston-university
Saint Francis (PA),saint-francis-pa
Drexel,drexel
Central Florida,central-florida
Idaho,idaho
Western Carolina,western-carolina
Seattle,seattle
Elon,elon
Texas Southern,texas-southern
Nevada,nevada
Drake,drake
Mount St. Mary's,mount-st-marys
Incarnate Word,incarnate-word
Holy Cross,holy-cross
Bryant,bryant
Cal State Bakersfield,cal-state-bakersfield
Wright State,wright-state
Marshall,marshall
Tennessee Tech,tennessee-tech
Army,army
Maryland-Eastern Shore,maryland-eastern-shore
Cal State Northridge,cal-state-northridge
Grand Canyon,grand-canyon
Northern Colorado,northern-colorado
Northern Kentucky,northern-kentucky
Siena,siena
Towson,towson
Nebraska-Omaha,nebraska-omaha
North Carolina-Asheville,north-carolina-asheville
Brown,brown
College of Charleston,college-of-charleston
Southern Illinois-Edwardsville,southern-illinois-edwardsville
Weber State,weber-state
Sacred Heart,sacred-heart
Youngstown State,youngstown-state
Portland State,portland-state
Delaware,delaware
Florida International,florida-international
Florida Atlantic,florida-atlantic
Illinois-Chicago,illinois-chicago
Navy,navy
North Carolina-Greensboro,north-carolina-greensboro
Missouri-Kansas City,missouri-kansas-city
Hampton,hampton
IUPUI,iupui
Pennsylvania,pennsylvania
Cal State Fullerton,cal-state-fullerton
Hartford,hartford
Fairfield,fairfield
Troy,troy
Alabama State,alabama-state
Long Island University,long-island-university
Niagara,niagara
Samford,samford
South Alabama,south-alabama
Lamar,lamar
Appalachian State,appalachian-state
Virginia Military Institute,virginia-military-institute
Howard,howard
Southern,southern
Southern Mississippi,southern-mississippi
McNeese State,mcneese-state
Arkansas State,arkansas-state
Furman,furman
Marist,marist
Loyola (MD),loyola-md
Delaware State,delaware-state
Lipscomb,lipscomb
Prairie View,prairie-view
Southeastern Louisiana,southeastern-louisiana
Campbell,campbell
Massachusetts-Lowell,massachusetts-lowell
Wagner,wagner
Idaho State,idaho-state
New Orleans,new-orleans
Southern Utah,southern-utah
North Dakota,north-dakota
Fairleigh Dickinson,fairleigh-dickinson
Jackson State,jackson-state
Austin Peay,austin-peay
Jacksonville State,jacksonville-state
Utah Valley,utah-valley
Citadel,citadel
Montana State,montana-state
Longwood,longwood
Houston Baptist,houston-baptist
Binghamton,binghamton
Western Illinois,western-illinois
Texas-Rio Grande Valley,texas-pan-american
Chicago State,chicago-state
Tennessee State,tennessee-state
Bethune-Cookman,bethune-cookman
Arkansas-Pine Bluff,arkansas-pine-bluff
Nicholls State,nicholls-state
Liberty,liberty
Maryland-Baltimore County,maryland-baltimore-county
Morgan State,morgan-state
San Jose State,san-jose-state
Stetson,stetson
Presbyterian,presbyterian
Central Connecticut State,central-connecticut-state
Jacksonville,jacksonville
North Carolina A&T,north-carolina-at
Alabama A&M,alabama-am
Abilene Christian,abilene-christian
Kennesaw State,kennesaw-state
South Carolina State,south-carolina-state
Maine,maine
Coppin State,coppin-state
Savannah State,savannah-state
Alcorn State,alcorn-state
Central Arkansas,central-arkansas
Mississippi Valley State,mississippi-valley-state
Florida A&M,florida-am
Grambling,grambling
