school_name,school_abbrev
Buffalo,buffalo
Manhattan,manhattan
Georgia State,georgia-state
Charleston Southern,charleston-southern
Bryant,bryant
Florida International,florida-international
Texas Southern,texas-southern
Youngstown State,youngstown-state
Tennessee State,tennessee-state
Idaho,idaho
North Carolina Central,north-carolina-central
Toledo,toledo
Southern,southern
Missouri State,missouri-state
South Alabama,south-alabama
Cal State Fullerton,cal-state-fullerton
Lafayette,lafayette
Loyola Marymount,loyola-marymount
Texas Tech,texas-tech
Long Island University,long-island-university
Gardner-Webb,gardner-webb
Wagner,wagner
Columbia,columbia
Bowling Green State,bowling-green-state
UC-Davis,california-davis
Elon,elon
South Carolina Upstate,south-carolina-upstate
Marshall,marshall
North Carolina-Asheville,north-carolina-asheville
Pepperdine,pepperdine
Cal State Northridge,cal-state-northridge
Yale,yale
William & Mary,william-mary
UC-Santa Barbara,california-santa-barbara
Texas Christian,texas-christian
Arkansas-Little Rock,arkansas-little-rock
Oakland,oakland
Jacksonville State,jacksonville-state
Seattle,seattle
Duquesne,duquesne
Mississippi State,mississippi-state
High Point,high-point
Quinnipiac,quinnipiac
Louisiana-Lafayette,louisiana-lafayette
Morehead State,morehead-state
Morgan State,morgan-state
Savannah State,savannah-state
Southeast Missouri State,southeast-missouri-state
Coastal Carolina,coastal-carolina
Norfolk State,norfolk-state
Portland,portland
Hartford,hartford
Mount St. Mary's,mount-st-marys
Florida Atlantic,florida-atlantic
St. Francis (NY),st-francis-ny
Central Michigan,central-michigan
Holy Cross,holy-cross
Eastern Michigan,eastern-michigan
Brown,brown
Marist,marist
Texas State,texas-state
North Texas,north-texas
Cal State Bakersfield,cal-state-bakersfield
Sam Houston State,sam-houston-state
Stetson,stetson
Western Carolina,western-carolina
Texas-San Antonio,texas-san-antonio
Miami (OH),miami-oh
Ball State,ball-state
Wofford,wofford
Fordham,fordham
North Carolina A&T,north-carolina-at
Pennsylvania,pennsylvania
IPFW,ipfw
Cornell,cornell
Cleveland State,cleveland-state
North Florida,north-florida
South Dakota,south-dakota
Old Dominion,old-dominion
Northern Colorado,northern-colorado
Northern Kentucky,northern-kentucky
Appalachian State,appalachian-state
Central Connecticut State,central-connecticut-state
New Hampshire,new-hampshire
NJIT,njit
North Dakota,north-dakota
American,american
Winthrop,winthrop
Colgate,colgate
Troy,troy
Eastern Illinois,eastern-illinois
Saint Peter's,saint-peters
Liberty,liberty
Dartmouth,dartmouth
Hampton,hampton
San Jose State,san-jose-state
Sacramento State,sacramento-state
North Carolina-Greensboro,north-carolina-greensboro
Bethune-Cookman,bethune-cookman
Maine,maine
Georgia Southern,georgia-southern
Tennessee Tech,tennessee-tech
Sacred Heart,sacred-heart
Samford,samford
North Carolina-Wilmington,north-carolina-wilmington
Campbell,campbell
Siena,siena
Milwaukee,milwaukee
Chattanooga,chattanooga
Jacksonville,jacksonville
Nicholls State,nicholls-state
Southeastern Louisiana,southeastern-louisiana
Hofstra,hofstra
Eastern Washington,eastern-washington
Portland State,portland-state
Central Arkansas,central-arkansas
Radford,radford
Montana State,montana-state
Rice,rice
Delaware State,delaware-state
Southern Illinois-Edwardsville,southern-illinois-edwardsville
Navy,navy
Utah Valley,utah-valley
Virginia Military Institute,virginia-military-institute
McNeese State,mcneese-state
UC-Riverside,california-riverside
Lipscomb,lipscomb
Texas A&M-Corpus Christi,texas-am-corpus-christi
Chicago State,chicago-state
Northern Illinois,northern-illinois
Monmouth,monmouth
Northern Arizona,northern-arizona
Southern Utah,southern-utah
Arkansas-Pine Bluff,arkansas-pine-bluff
Austin Peay,austin-peay
Maryland-Baltimore County,maryland-baltimore-county
Coppin State,coppin-state
Idaho State,idaho-state
East Tennessee State,east-tennessee-state
Texas-Rio Grande Valley,texas-pan-american
Missouri-Kansas City,missouri-kansas-city
Louisiana-Monroe,louisiana-monroe
Alcorn State,alcorn-state
Howard,howard
Jackson State,jackson-state
Saint Francis (PA),saint-francis-pa
Houston Baptist,houston-baptist
Nebraska-Omaha,nebraska-omaha
Kennesaw State,kennesaw-state
Prairie View,prairie-view
IUPUI,iupui
Florida A&M,florida-am
Tennessee-Martin,tennessee-martin
Citadel,citadel
Furman,furman
Presbyterian,presbyterian
Alabama State,alabama-state
Fairleigh Dickinson,fairleigh-dickinson
South Carolina State,south-carolina-state
Alabama A&M,alabama-am
Binghamton,binghamton
Mississippi Valley State,mississippi-valley-state
Longwood,longwood
Maryland-Eastern Shore,maryland-eastern-shore
Lamar,lamar
New Orleans,new-orleans
Grambling,grambling
